fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8.6;0.34;0.36;1.4;0.045;11;119;0.99556;3.17;0.47;9.4;0
6.7;0.54;0.27;7.1;0.049;8;178;0.99502;3.16;0.38;9.4;0
6.7;0.54;0.27;7.1;0.049;8;178;0.99502;3.16;0.38;9.4;0
7.2;0.615;0.1;1.4;0.068;25;154;0.99499;3.2;0.48;9.7;0
7.1;0.23;0.24;5.4;0.039;60;196;0.9948;3.19;0.78;10;0
6;0.11;0.47;10.6;0.052;69;148;0.9958;2.91;0.34;9.3;0
8.5;0.22;0.34;0.7;0.04;5;25;0.9918;3.04;0.37;10.5;0
7.4;0.28;0.4;11.9;0.032;13;92;0.99629;3.01;0.46;10.8;0
7.1;0.27;0.28;1.25;0.023;3;89;0.98993;2.95;0.3;11.4;0
6.8;0.27;0.29;4.6;0.046;6;88;0.99458;3.34;0.48;10.6;0
6.2;0.255;0.24;1.7;0.039;138.5;272;0.99452;3.53;0.53;9.6;0
7.3;0.28;0.42;1.2;0.033;29;142;0.99205;3.17;0.43;10.7;0
6.9;0.3;0.36;4.5;0.054;31;203;0.99513;3.4;0.57;10.4;0
8.5;0.2;0.4;1.1;0.046;31;106;0.99194;3;0.35;10.5;0
8.7;0.3;0.59;1.7;0.046;10;70;0.99373;3.06;0.56;10.8;0
6.5;0.29;0.25;2.5;0.142;8;111;0.9927;3;0.44;9.9;0
6.5;0.48;0.02;0.9;0.043;32;99;0.99226;3.14;0.47;9.8;0
6.7;0.64;0.3;1.2;0.03;18;76;0.9892;3.16;0.6;12.9;0
6.9;0.75;0.13;6.3;0.036;19;50;0.99312;3.09;0.25;11.1;0
7.5;0.34;0.24;3.85;0.031;5;34;0.99098;3.01;0.36;11.8;0
5.9;0.655;0;5.6;0.033;8;31;0.9936;3.32;0.51;10.5;0
6.7;0.22;0.22;1.2;0.038;5;124;0.99098;3.1;0.37;11.2;0
6.9;0.19;0.6;4;0.037;6;122;0.99255;2.92;0.59;10.4;0
6.1;0.6;0.12;1.8;0.05;11;76;0.99268;3.42;0.48;10.4;0
8.5;0.18;0.3;1.1;0.028;34;95;0.99272;2.83;0.36;10;0
6.5;0.32;0.48;8;0.026;18;88;0.99144;3.22;0.79;12.7;0
7.4;0.27;0.31;2.4;0.014;15;143;0.99094;3.03;0.65;12;0
7.3;0.36;0.54;13.3;0.054;63;193;0.99864;3.06;0.49;8.6;0
6.8;0.73;0.2;6.6;0.054;25;65;0.99324;3.12;0.28;11.1;0
4.8;0.65;0.12;1.1;0.013;4;10;0.99246;3.32;0.36;13.5;0
8.7;0.31;0.21;5.6;0.039;28;67;0.99328;2.96;0.52;11;0
7.3;0.38;0.23;6.5;0.05;18;102;0.99304;3.1;0.55;11.2;0
6.3;0.27;0.51;7.6;0.049;35;200;0.99548;3.16;0.54;9.4;0
6.3;0.27;0.51;7.6;0.049;35;200;0.99548;3.16;0.54;9.4;0
6.4;0.37;0.12;5.9;0.056;6;91;0.99536;3.06;0.46;8.4;0
6.1;1.1;0.16;4.4;0.033;8;109;0.99058;3.35;0.47;12.4;0
6.6;0.35;0.19;10.5;0.06;15;82;0.99588;3.13;0.38;9.9;0
6.6;0.31;0.37;6.2;0.052;13;164;0.99602;3.24;0.39;8.8;0
6.5;0.38;0.53;1.4;0.142;5;69;0.9926;3.14;0.52;10.1;0
6.1;0.38;0.14;3.9;0.06;27;113;0.99344;3.07;0.34;9.2;0
6.1;0.38;0.14;3.9;0.06;27;113;0.99344;3.07;0.34;9.2;0
5.3;0.43;0.11;1.1;0.029;6;51;0.99076;3.51;0.48;11.2;0
5.3;0.47;0.1;1.3;0.036;11;74;0.99082;3.48;0.54;11.2;0
5.6;0.18;0.29;2.3;0.04;5;47;0.99126;3.07;0.45;10.1;0
6.3;0.28;0.22;9.5;0.04;30;111;0.99338;3.05;0.31;10.8;0
5.8;0.28;0.18;1.2;0.058;7;108;0.99288;3.23;0.58;9.55;0
5.8;0.26;0.3;2.6;0.034;75;129;0.9902;3.2;0.38;11.5;0
6;0.615;0.04;0.8;0.032;8;50;0.99036;3.14;0.4;11;0
6.8;0.63;0.04;1.3;0.058;25;133;0.99271;3.17;0.39;10.2;0
6.8;0.63;0.04;1.3;0.058;25;133;0.99271;3.17;0.39;10.2;0
7.1;0.24;0.34;1.2;0.045;6;132;0.99132;3.16;0.46;11.2;0
6;0.59;0;0.8;0.037;30;95;0.99032;3.1;0.4;10.9;0
6;0.35;0.46;0.9;0.033;9;65;0.98934;3.24;0.35;12.1;0
5.2;0.405;0.15;1.45;0.038;10;44;0.99125;3.52;0.4;11.6;0
6.2;0.53;0.02;0.9;0.035;6;81;0.99234;3.24;0.35;9.5;0
8.1;0.27;0.41;1.45;0.033;11;63;0.9908;2.99;0.56;12;0
8.6;0.23;0.4;4.2;0.035;17;109;0.9947;3.14;0.53;9.7;0
7.9;0.18;0.37;1.2;0.04;16;75;0.992;3.18;0.63;10.8;0
8.3;0.42;0.62;19.25;0.04;41;172;1.0002;2.98;0.67;9.7;0
6.5;0.31;0.14;7.5;0.044;34;133;0.9955;3.22;0.5;9.5;0
7.6;0.67;0.14;1.5;0.074;25;168;0.9937;3.05;0.51;9.3;0
5.8;0.27;0.2;14.95;0.044;22;179;0.9962;3.37;0.37;10.2;0
7.3;0.28;0.43;1.7;0.08;21;123;0.9905;3.19;0.42;12.8;0
6.5;0.39;0.23;5.4;0.051;25;149;0.9934;3.24;0.35;10;0
7.3;0.24;0.39;17.95;0.057;45;149;0.9999;3.21;0.36;8.6;0
7.3;0.24;0.39;17.95;0.057;45;149;0.9999;3.21;0.36;8.6;0
6.2;0.46;0.25;4.4;0.066;62;207;0.9939;3.25;0.52;9.8;0
6.9;0.19;0.35;5;0.067;32;150;0.995;3.36;0.48;9.8;0
7;0.47;0.07;1.1;0.035;17;151;0.991;3.02;0.34;10.5;0
6.2;0.35;0.03;1.2;0.064;29;120;0.9934;3.22;0.54;9.1;0
6.7;0.25;0.13;1.2;0.041;81;174;0.992;3.14;0.42;9.8;0
7.4;0.24;0.29;10.1;0.05;21;105;0.9962;3.13;0.35;9.5;0
